diameter_mm,torque_nm,shear_stress_mpa,factor_of_safety,status
20,700,445.63384065730696,0.3365992128846207,FAIL
20,800,509.2958178940651,0.2945243112740431,FAIL
20,900,572.9577951308232,0.2617993877991494,FAIL
20,1000,636.6197723675814,0.23561944901923448,FAIL
21,100,54.99360953396665,2.727589646708913,PASS
21,200,109.9872190679333,1.3637948233544566,FAIL
21,300,164.98082860189993,0.9091965489029711,FAIL
21,400,219.9744381358666,0.6818974116772283,FAIL
21,500,274.96804766983325,0.5455179293417826,FAIL
21,600,329.96165720379986,0.45459827445148554,FAIL
21,700,384.9552667377665,0.389655663815559,FAIL
21,800,439.9488762717332,0.34094870583861414,FAIL
21,900,494.94248580569985,0.3030655163009903,FAIL
21,1000,549.9360953396665,0.2727589646708913,FAIL
22,100,47.83018575263572,3.1360948664460104,PASS
22,200,95.66037150527144,1.5680474332230052,FAIL
22,300,143.49055725790717,1.0453649554820035,FAIL
22,400,191.32074301054288,0.7840237166115026,FAIL
22,500,239.1509287631786,0.6272189732892022,FAIL
22,600,286.98111451581434,0.5226824777410017,FAIL
22,700,334.81130026845005,0.4480135523494301,FAIL
22,800,382.64148602108577,0.3920118583057513,FAIL
22,900,430.4716717737215,0.34845498516066786,FAIL
22,1000,478.3018575263572,0.3136094866446011,FAIL
23,100,41.8587834218842,3.583477295271283,PASS
23,200,83.7175668437684,1.7917386476356414,FAIL
23,300,125.57635026565261,1.1944924317570942,FAIL
23,400,167.4351336875368,0.8958693238178207,FAIL
23,500,209.29391710942102,0.7166954590542565,FAIL
23,600,251.15270053130521,0.5972462158785471,FAIL
23,700,293.0114839531894,0.5119253278958975,FAIL
23,800,334.8702673750736,0.44793466190891035,FAIL
23,900,376.7290507969578,0.39816414391903143,FAIL
23,1000,418.58783421884203,0.35834772952712823,FAIL
24,100,36.84142201201281,4.071504079052372,PASS
24,200,73.68284402402563,2.035752039526186,PASS
24,300,110.52426603603844,1.3571680263507906,FAIL
24,400,147.36568804805125,1.017876019763093,FAIL
24,500,184.20711006006405,0.8143008158104744,FAIL
24,600,221.04853207207688,0.6785840131753953,FAIL
24,700,257.8899540840897,0.5816434398646245,FAIL
24,800,294.7313760961025,0.5089380098815465,FAIL
24,900,331.5727981081153,0.4523893421169302,FAIL
24,1000,368.4142201201281,0.4071504079052372,FAIL
25,100,32.594932345220165,4.601942363656923,PASS
25,200,65.18986469044033,2.3009711818284617,PASS
25,300,97.7847970356605,1.533980787885641,FAIL
25,400,130.37972938088066,1.1504855909142309,FAIL
25,500,162.97466172610083,0.9203884727313847,FAIL
25,600,195.569594071321,0.7669903939428205,FAIL
25,700,228.16452641654118,0.6574203376652747,FAIL
25,800,260.7594587617613,0.5752427954571154,FAIL
25,900,293.3543911069815,0.5113269292952137,FAIL
25,1000,325.94932345220167,0.46019423636569234,FAIL
26,100,28.97677616602555,5.176559294952582,PASS
26,200,57.9535523320511,2.588279647476291,PASS
26,300,86.93032849807665,1.725519764984194,FAIL
26,400,115.9071046641022,1.2941398237381454,FAIL
26,500,144.88388083012777,1.0353118589905164,FAIL
26,600,173.8606569961533,0.862759882492097,FAIL
26,700,202.83743316217885,0.7395084707075117,FAIL
26,800,231.8142093282044,0.6470699118690727,FAIL
26,900,260.79098549423,0.5751732549947313,FAIL
26,1000,289.76776166025553,0.5176559294952582,FAIL
27,100,25.87490818950694,5.7971220188069905,PASS
27,200,51.74981637901388,2.8985610094034953,PASS
27,300,77.62472456852082,1.932374006268997,FAIL
27,400,103.49963275802776,1.4492805047017476,FAIL
27,500,129.3745409475347,1.1594244037613979,FAIL
27,600,155.24944913704164,0.9661870031344985,FAIL
27,700,181.1243573265486,0.8281602884009985,FAIL
27,800,206.99926551605552,0.7246402523508738,FAIL
27,900,232.87417370556247,0.6441246687563322,FAIL
27,1000,258.7490818950694,0.5797122018806989,FAIL
28,100,23.200429022142178,6.4653976810877944,PASS
28,200,46.400858044284355,3.2326988405438972,PASS
28,300,69.60128706642652,2.1551325603625986,PASS
28,400,92.80171608856871,1.6163494202719486,FAIL
28,500,116.00214511071088,1.293079536217559,FAIL
28,600,139.20257413285304,1.0775662801812993,FAIL
28,700,162.40300315499522,0.9236282401553993,FAIL
28,800,185.60343217713742,0.8081747101359743,FAIL
28,900,208.8038611992796,0.7183775201208661,FAIL
28,1000,232.00429022142177,0.6465397681087794,FAIL
29,100,20.88219352552647,7.183153427662637,PASS
29,200,41.76438705105294,3.5915767138313184,PASS
29,300,62.64658057657941,2.394384475887546,PASS
29,400,83.52877410210588,1.7957883569156592,FAIL
29,500,104.41096762763236,1.4366306855325273,FAIL
29,600,125.29316115315882,1.197192237943773,FAIL
29,700,146.1753546786853,1.0261647753803766,FAIL
29,800,167.05754820421177,0.8978941784578296,FAIL
29,900,187.93974172973824,0.7981281586291818,FAIL
29,1000,208.82193525526472,0.7183153427662636,FAIL
30,100,18.86280807015056,7.9521564043991635,PASS
30,200,37.72561614030112,3.9760782021995817,PASS
30,300,56.58842421045168,2.650718801466388,PASS
30,400,75.45123228060224,1.9880391010997909,FAIL
30,500,94.31404035075279,1.5904312808798329,FAIL
30,600,113.17684842090335,1.325359400733194,FAIL
30,700,132.0396564910539,1.136022343485595,FAIL
30,800,150.90246456120448,0.9940195505498954,FAIL
30,900,169.76527263135503,0.8835729338221293,FAIL
30,1000,188.62808070150558,0.7952156404399164,FAIL
31,100,17.095626796484346,8.774173757165016,PASS
31,200,34.19125359296869,4.387086878582508,PASS
31,300,51.28688038945303,2.924724585721673,PASS
31,400,68.38250718593738,2.193543439291254,PASS
31,500,85.47813398242172,1.7548347514330036,FAIL
31,600,102.57376077890606,1.4623622928608364,FAIL
31,700,119.66938757539042,1.2534533938807169,FAIL
31,800,136.76501437187477,1.096771719645627,FAIL
31,900,153.8606411683591,0.9749081952405575,FAIL
31,1000,170.95626796484345,0.8774173757165018,FAIL
32,100,15.542474911317905,9.650972631827845,PASS
32,200,31.08494982263581,4.825486315913922,PASS
32,300,46.62742473395372,3.216990877275948,PASS
32,400,62.16989964527162,2.412743157956961,PASS
32,500,77.71237455658952,1.9301945263655689,FAIL
32,600,93.25484946790743,1.608495438637974,FAIL
32,700,108.79732437922533,1.3787103759754065,FAIL
32,800,124.33979929054324,1.2063715789784806,FAIL
32,900,139.88227420186115,1.072330292425316,FAIL
32,1000,155.42474911317905,0.9650972631827844,FAIL
33,100,14.171906889669842,10.584320174255287,PASS
33,200,28.343813779339683,5.292160087127644,PASS
33,300,42.515720669009525,3.5281067247517623,PASS
33,400,56.68762755867937,2.646080043563822,PASS
33,500,70.85953444834921,2.1168640348510572,PASS
33,600,85.03144133801905,1.7640533623758812,FAIL
33,700,99.20334822768889,1.5120457391793267,FAIL
33,800,113.37525511735873,1.323040021781911,FAIL
33,900,127.54716200702858,1.1760355749172542,FAIL
33,1000,141.71906889669842,1.0584320174255286,FAIL
34,100,12.957862250510509,11.575983530314991,PASS
34,200,25.915724501021018,5.7879917651574955,PASS
34,300,38.873586751531526,3.8586611767716636,PASS
34,400,51.831449002042035,2.8939958825787477,PASS
34,500,64.78931125255255,2.315196706062998,PASS
34,600,77.74717350306305,1.9293305883858318,FAIL
34,700,90.70503575357357,1.6537119329021415,FAIL
34,800,103.66289800408407,1.4469979412893739,FAIL
34,900,116.62076025459459,1.2862203922572213,FAIL
34,1000,129.5786225051051,1.157598353031499,FAIL
35,100,11.878619659336795,12.627729845874597,PASS
35,200,23.75723931867359,6.313864922937299,PASS
35,300,35.63585897801039,4.209243281958199,PASS
35,400,47.51447863734718,3.1569324614686494,PASS
35,500,59.39309829668398,2.5255459691749196,PASS
35,600,71.27171795602078,2.1046216409790994,PASS
35,700,83.15033761535757,1.803961406553514,FAIL
35,800,95.02895727469436,1.5784662307343247,FAIL
35,900,106.90757693403117,1.4030810939860663,FAIL
35,1000,118.78619659336796,1.2627729845874598,FAIL
36,100,10.91597689244824,13.741326266801755,PASS
36,200,21.83195378489648,6.870663133400877,PASS
36,300,32.747930677344726,4.580442088933918,PASS
36,400,43.66390756979296,3.4353315667004387,PASS
36,500,54.5798844622412,2.748265253360351,PASS
36,600,65.49586135468945,2.290221044466959,PASS
36,700,76.41183824713768,1.9630466095431078,FAIL
36,800,87.32781513958592,1.7176657833502194,FAIL
36,900,98.24379203203416,1.5268140296446393,FAIL
36,1000,109.1597689244824,1.3741326266801754,FAIL
37,100,10.054603239572486,14.918539938964104,PASS
37,200,20.109206479144973,7.459269969482052,PASS
37,300,30.16380971871746,4.972846646321368,PASS
37,400,40.218412958289946,3.729634984741026,PASS
37,500,50.27301619786243,2.9837079877928208,PASS
37,600,60.32761943743492,2.486423323160684,PASS
37,700,70.3822226770074,2.1312199912805863,PASS
37,800,80.43682591657989,1.864817492370513,FAIL
37,900,90.49142915615238,1.6576155487737894,FAIL
37,1000,100.54603239572486,1.4918539938964104,FAIL
38,100,9.281524600781182,16.161138008229294,PASS
38,200,18.563049201562364,8.080569004114647,PASS
38,300,27.844573802343547,5.387046002743098,PASS
38,400,37.12609840312473,4.0402845020573235,PASS
38,500,46.40762300390591,3.232227601645859,PASS
38,600,55.68914760468709,2.693523001371549,PASS
38,700,64.97067220546828,2.3087340011756137,PASS
38,800,74.25219680624946,2.0201422510286617,PASS
38,900,83.53372140703064,1.7956820009143661,FAIL
38,1000,92.81524600781182,1.6161138008229294,FAIL
39,100,8.585711456600164,17.47088762046496,PASS
39,200,17.171422913200328,8.73544381023248,PASS
39,300,25.75713436980049,5.823629206821654,PASS
39,400,34.342845826400655,4.36772190511624,PASS
39,500,42.92855728300081,3.494177524092993,PASS
39,600,51.51426873960098,2.911814603410827,PASS
39,700,60.099980196201145,2.4958410886378517,PASS
39,800,68.68569165280131,2.18386095255812,PASS
39,900,77.27140310940148,1.941209735607218,FAIL
39,1000,85.85711456600163,1.7470887620464965,FAIL
40,100,7.957747154594768,18.84955592153876,PASS
40,200,15.915494309189535,9.42477796076938,PASS
40,300,23.873241463784304,6.283185307179585,PASS
40,400,31.83098861837907,4.71238898038469,PASS
40,500,39.78873577297384,3.7699111843077517,PASS
40,600,47.74648292756861,3.1415926535897927,PASS
40,700,55.70423008216337,2.6927937030769655,PASS
40,800,63.66197723675814,2.356194490192345,PASS
40,900,71.6197243913529,2.0943951023931953,PASS
40,1000,79.57747154594767,1.8849555921538759,FAIL
41,100,7.389559320005008,20.298910057318324,PASS
41,200,14.779118640010015,10.149455028659162,PASS
41,300,22.16867796001502,6.766303352439442,PASS
41,400,29.55823728002003,5.074727514329581,PASS
41,500,36.947796600025036,4.059782011463665,PASS
41,600,44.33735592003004,3.383151676219721,PASS
41,700,51.726915240035055,2.8998442939026177,PASS
41,800,59.11647456004006,2.5373637571647905,PASS
41,900,66.50603388004507,2.255434450813147,PASS
41,1000,73.89559320005007,2.0298910057318325,PASS
42,100,6.874201191745831,21.820717173671305,PASS
42,200,13.748402383491662,10.910358586835653,PASS
42,300,20.62260357523749,7.273572391223769,PASS
42,400,27.496804766983324,5.455179293417826,PASS
42,500,34.37100595872916,4.3641434347342605,PASS
42,600,41.24520715047498,3.6367861956118843,PASS
42,700,48.119408342220815,3.117245310524472,PASS
42,800,54.99360953396665,2.727589646708913,PASS
42,900,61.86781072571248,2.4245241304079226,PASS
42,1000,68.74201191745831,2.1820717173671302,PASS
43,100,6.405672681576026,23.416744416465345,PASS
43,200,12.811345363152052,11.708372208232673,PASS
43,300,19.21701804472808,7.805581472155115,PASS
43,400,25.622690726304103,5.854186104116336,PASS
43,500,32.02836340788013,4.683348883293069,PASS
43,600,38.43403608945616,3.9027907360775576,PASS
43,700,44.83970877103218,3.3452492023521923,PASS
43,800,51.24538145260821,2.927093052058168,PASS
43,900,57.651054134184236,2.6018604907183716,PASS
43,1000,64.05672681576026,2.3416744416465347,PASS
44,100,5.978773219079465,25.088758931568083,PASS
44,200,11.95754643815893,12.544379465784042,PASS
44,300,17.936319657238396,8.362919643856028,PASS
44,400,23.91509287631786,6.272189732892021,PASS
44,500,29.893866095397325,5.017751786313617,PASS
44,600,35.87263931447679,4.181459821928014,PASS
44,700,41.85141253355626,3.5841084187954406,PASS
44,800,47.83018575263572,3.1360948664460104,PASS
44,900,53.808958971715185,2.787639881285343,PASS
44,1000,59.78773219079465,2.5088758931568087,PASS
45,100,5.588980168933499,26.83852786484718,PASS
45,200,11.177960337866997,13.41926393242359,PASS
45,300,16.766940506800495,8.94617595494906,PASS
45,400,22.355920675733994,6.709631966211795,PASS
45,500,27.944900844667494,5.367705572969435,PASS
45,600,33.53388101360099,4.47308797747453,PASS
45,700,39.12286118253449,3.8340754092638827,PASS
45,800,44.71184135146799,3.3548159831058975,PASS
45,900,50.300821520401485,2.982058651649687,PASS
45,1000,55.88980168933499,2.6838527864847177,PASS
46,100,5.232347927735525,28.667818362170262,PASS
46,200,10.46469585547105,14.333909181085131,PASS
46,300,15.697043783206576,9.555939454056753,PASS
46,400,20.9293917109421,7.166954590542566,PASS
46,500,26.161739638677627,5.733563672434052,PASS
46,600,31.394087566413152,4.777969727028377,PASS
46,700,36.62643549414867,4.09540262316718,PASS
46,800,41.8587834218842,3.583477295271283,PASS
46,900,47.09113134961972,3.1853131513522515,PASS
46,1000,52.323479277355254,2.866781836217026,PASS
47,100,4.905423826069995,30.578397569404974,PASS
47,200,9.81084765213999,15.289198784702487,PASS
47,300,14.716271478209986,10.192799189801658,PASS
47,400,19.62169530427998,7.644599392351243,PASS
47,500,24.527119130349977,6.115679513880995,PASS
47,600,29.432542956419972,5.096399594900829,PASS
47,700,34.337966782489964,4.368342509914997,PASS
47,800,39.24339060855996,3.8222996961756217,PASS
47,900,44.148814434629955,3.3975997299338863,PASS
47,1000,49.054238260699954,3.0578397569404974,PASS
48,100,4.605177751501602,32.572032632418974,PASS
48,200,9.210355503003203,16.286016316209487,PASS
48,300,13.815533254504805,10.857344210806325,PASS
48,400,18.420711006006407,8.143008158104744,PASS
48,500,23.025888757508007,6.514406526483795,PASS
48,600,27.63106650900961,5.428672105403162,PASS
48,700,32.236244260511214,4.653147518916996,PASS
48,800,36.84142201201281,4.071504079052372,PASS
48,900,41.44659976351441,3.6191147369354417,PASS
48,1000,46.05177751501601,3.2572032632418977,PASS
49,100,4.328943024539648,34.650490697079896,PASS
49,200,8.657886049079297,17.325245348539948,PASS
49,300,12.986829073618944,11.5501635656933,PASS
49,400,17.315772098158593,8.662622674269974,PASS
49,500,21.64471512269824,6.93009813941598,PASS
49,600,25.973658147237888,5.77508178284665,PASS
49,700,30.30260117177754,4.950070099582843,PASS
49,800,34.631544196317186,4.331311337134987,PASS
49,900,38.960487220856834,3.8500545218977664,PASS
49,1000,43.28943024539648,3.46504906970799,PASS
50,100,4.074366543152521,36.81553890925539,PASS
50,200,8.148733086305041,18.407769454627694,PASS
50,300,12.223099629457563,12.271846303085129,PASS
50,400,16.297466172610083,9.203884727313847,PASS
50,500,20.371832715762604,7.3631077818510775,PASS
50,600,24.446199258915126,6.135923151542564,PASS
50,700,28.520565802067647,5.259362701322198,PASS
50,800,32.594932345220165,4.601942363656923,PASS
50,900,36.66929888837269,4.09061543436171,PASS
50,1000,40.74366543152521,3.6815538909255388,PASS
51,100,3.839366592743855,39.06894441481309,PASS
51,200,7.67873318548771,19.534472207406544,PASS
51,300,11.518099778231564,13.022981471604364,PASS
51,400,15.35746637097542,9.767236103703272,PASS
51,500,19.196832963719274,7.813788882962618,PASS
51,600,23.036199556463128,6.511490735802182,PASS
51,700,26.875566149206986,5.581277773544727,PASS
51,800,30.71493274195084,4.883618051851636,PASS
51,900,34.5542993346947,4.3409938238681205,PASS
51,1000,38.39366592743855,3.906894441481309,PASS
52,100,3.622097020753194,41.41247435962065,PASS
52,200,7.244194041506388,20.706237179810326,PASS
52,300,10.866291062259581,13.804158119873552,PASS
52,400,14.488388083012776,10.353118589905163,PASS
52,500,18.11048510376597,8.282494871924131,PASS
52,600,21.732582124519162,6.902079059936776,PASS
52,700,25.354679145272357,5.9160677656600935,PASS
52,800,28.97677616602555,5.176559294952582,PASS
52,900,32.59887318677875,4.60138603995785,PASS
52,1000,36.22097020753194,4.1412474359620655,PASS
53,100,3.4209167157725178,43.84789588954571,PASS
